Question,Level,Solution
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment vous sentez-vous aujourd'hui?
2. Quelle est la différence entre ""être"" et ""avoir"" en français?
3. Comment utiliser les prépositions ""à"" et ""de"" correctement?
4. Quelle est la différence entre ""bon"" et ""good"" en français?
5. Comment exprimer la politesse en français?
6. Comment utiliser les verbes irréguliers au",French,
"1. Comment vous sentez-vous aujourd'hui?
2. Quelle est la différence entre ""être"" et ""avoir"" en français?
3. Comment utiliser les prépositions ""à"" et ""de"" correctement?
4. Quelle est la différence entre ""bon"" et ""good"" en français?
5. Comment exprimer la politesse en français?
6. Comment utiliser les verbes irréguliers au",French,
"1. Comment vous sentez-vous aujourd'hui?
2. Quelle est la différence entre ""être"" et ""avoir"" en français?
3. Comment utiliser les prépositions ""à"" et ""de"" correctement?
4. Quelle est la différence entre ""bon"" et ""good"" en français?
5. Comment exprimer la politesse en français?
6. Comment utiliser les verbes irréguliers au",French,
"1. Comment vous sentez-vous aujourd'hui?
2. Quelle est la différence entre ""être"" et ""avoir"" en français?
3. Comment utiliser les prépositions ""à"" et ""de"" correctement?
4. Quelle est la différence entre ""bon"" et ""good"" en français?
5. Comment exprimer la politesse en français?
6. Comment utiliser les verbes irréguliers au",French,
"1. Comment vous sentez-vous aujourd'hui?
2. Quelle est la différence entre ""être"" et ""avoir"" en français?
3. Comment utiliser les prépositions ""à"" et ""de"" correctement?
4. Quelle est la différence entre ""bon"" et ""good"" en français?
5. Comment exprimer la politesse en français?
6. Comment utiliser les verbes irréguliers au",French,
"1. Comment vous sentez-vous aujourd'hui?
2. Quelle est la différence entre ""être"" et ""avoir"" en français?
3. Comment utiliser les prépositions ""à"" et ""de"" correctement?
4. Quelle est la différence entre ""bon"" et ""good"" en français?
5. Comment exprimer la politesse en français?
6. Comment utiliser les verbes irréguliers au",French,
"1. Comment vous sentez-vous aujourd'hui?
2. Quelle est la différence entre ""être"" et ""avoir"" en français?
3. Comment utiliser les prépositions ""à"" et ""de"" correctement?
4. Quelle est la différence entre ""bon"" et ""good"" en français?
5. Comment exprimer la politesse en français?
6. Comment utiliser les verbes irréguliers au",French,
"1. Comment vous sentez-vous aujourd'hui?
2. Quelle est la différence entre ""être"" et ""avoir"" en français?
3. Comment utiliser les prépositions ""à"" et ""de"" correctement?
4. Quelle est la différence entre ""bon"" et ""good"" en français?
5. Comment exprimer la politesse en français?
6. Comment utiliser les verbes irréguliers au",French,
"1. Comment vous sentez-vous aujourd'hui?
2. Quelle est la différence entre ""être"" et ""avoir"" en français?
3. Comment utiliser les prépositions ""à"" et ""de"" correctement?
4. Quelle est la différence entre ""bon"" et ""good"" en français?
5. Comment exprimer la politesse en français?
6. Comment utiliser les verbes irréguliers au",French,
"1. Comment vous sentez-vous aujourd'hui?
2. Quelle est la différence entre ""être"" et ""avoir"" en français?
3. Comment utiliser les prépositions ""à"" et ""de"" correctement?
4. Quelle est la différence entre ""bon"" et ""good"" en français?
5. Comment exprimer la politesse en français?
6. Comment utiliser les verbes irréguliers au",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de pronoms personnels en français ?
3. Comment exprimer des idées complexes en français ?
4. Comment utiliser les temps passés en français ?
5. Comment utiliser les verbes irréguliers en français ?
6. Comment utiliser les prépositions en français ?
7. Comment exprimer des opinions et des",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de pronoms personnels en français ?
3. Comment exprimer des idées complexes en français ?
4. Comment utiliser les temps passés en français ?
5. Comment utiliser les verbes irréguliers en français ?
6. Comment utiliser les prépositions en français ?
7. Comment exprimer des opinions et des",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de pronoms personnels en français ?
3. Comment exprimer des idées complexes en français ?
4. Comment utiliser les temps passés en français ?
5. Comment utiliser les verbes irréguliers en français ?
6. Comment utiliser les prépositions en français ?
7. Comment exprimer des opinions et des",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de pronoms personnels en français ?
3. Comment exprimer des idées complexes en français ?
4. Comment utiliser les temps passés en français ?
5. Comment utiliser les verbes irréguliers en français ?
6. Comment utiliser les prépositions en français ?
7. Comment exprimer des opinions et des",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de pronoms personnels en français ?
3. Comment exprimer des idées complexes en français ?
4. Comment utiliser les temps passés en français ?
5. Comment utiliser les verbes irréguliers en français ?
6. Comment utiliser les prépositions en français ?
7. Comment exprimer des opinions et des",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de pronoms personnels en français ?
3. Comment exprimer des idées complexes en français ?
4. Comment utiliser les temps passés en français ?
5. Comment utiliser les verbes irréguliers en français ?
6. Comment utiliser les prépositions en français ?
7. Comment exprimer des opinions et des",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de pronoms personnels en français ?
3. Comment exprimer des idées complexes en français ?
4. Comment utiliser les temps passés en français ?
5. Comment utiliser les verbes irréguliers en français ?
6. Comment utiliser les prépositions en français ?
7. Comment exprimer des opinions et des",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de pronoms personnels en français ?
3. Comment exprimer des idées complexes en français ?
4. Comment utiliser les temps passés en français ?
5. Comment utiliser les verbes irréguliers en français ?
6. Comment utiliser les prépositions en français ?
7. Comment exprimer des opinions et des",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de pronoms personnels en français ?
3. Comment exprimer des idées complexes en français ?
4. Comment utiliser les temps passés en français ?
5. Comment utiliser les verbes irréguliers en français ?
6. Comment utiliser les prépositions en français ?
7. Comment exprimer des opinions et des",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de pronoms personnels en français ?
3. Comment exprimer des idées complexes en français ?
4. Comment utiliser les temps passés en français ?
5. Comment utiliser les verbes irréguliers en français ?
6. Comment utiliser les prépositions en français ?
7. Comment exprimer des opinions et des",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment te sentez-tu aujourd'hui? (How do you feel today?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays d'origine? (What is your country of origin?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est ton mét",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment te sentez-tu aujourd'hui? (How do you feel today?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays d'origine? (What is your country of origin?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est ton mét",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment te sentez-tu aujourd'hui? (How do you feel today?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays d'origine? (What is your country of origin?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est ton mét",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment te sentez-tu aujourd'hui? (How do you feel today?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays d'origine? (What is your country of origin?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est ton mét",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment te sentez-tu aujourd'hui? (How do you feel today?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays d'origine? (What is your country of origin?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est ton mét",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment te sentez-tu aujourd'hui? (How do you feel today?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays d'origine? (What is your country of origin?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est ton mét",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment te sentez-tu aujourd'hui? (How do you feel today?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays d'origine? (What is your country of origin?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est ton mét",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment te sentez-tu aujourd'hui? (How do you feel today?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays d'origine? (What is your country of origin?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est ton mét",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment te sentez-tu aujourd'hui? (How do you feel today?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays d'origine? (What is your country of origin?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est ton mét",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment te sentez-tu aujourd'hui? (How do you feel today?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays d'origine? (What is your country of origin?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est ton mét",French,
"1. Comment conjugues-tu le verbe ""aller"" au passé composé ?
2. Qu'est-ce que la différence entre ""avoir"" et ""être"" en français ?
3. Comment utilises-tu les articles ""le"", ""la"", ""l'"", ""les"" et ""des"" ?
4. Comment exprimer ""I don't know"" en français ?
5. Comment utiliser les temps grammacial en français ?",French,
"1. Comment conjugues-tu le verbe ""aller"" au passé composé ?
2. Qu'est-ce que la différence entre ""avoir"" et ""être"" en français ?
3. Comment utilises-tu les articles ""le"", ""la"", ""l'"", ""les"" et ""des"" ?
4. Comment exprimer ""I don't know"" en français ?
5. Comment utiliser les temps grammacial en français ?",French,
"1. Comment conjugues-tu le verbe ""aller"" au passé composé ?
2. Qu'est-ce que la différence entre ""avoir"" et ""être"" en français ?
3. Comment utilises-tu les articles ""le"", ""la"", ""l'"", ""les"" et ""des"" ?
4. Comment exprimer ""I don't know"" en français ?
5. Comment utiliser les temps grammacial en français ?",French,
"1. Comment conjugues-tu le verbe ""aller"" au passé composé ?
2. Qu'est-ce que la différence entre ""avoir"" et ""être"" en français ?
3. Comment utilises-tu les articles ""le"", ""la"", ""l'"", ""les"" et ""des"" ?
4. Comment exprimer ""I don't know"" en français ?
5. Comment utiliser les temps grammacial en français ?",French,
"1. Comment conjugues-tu le verbe ""aller"" au passé composé ?
2. Qu'est-ce que la différence entre ""avoir"" et ""être"" en français ?
3. Comment utilises-tu les articles ""le"", ""la"", ""l'"", ""les"" et ""des"" ?
4. Comment exprimer ""I don't know"" en français ?
5. Comment utiliser les temps grammacial en français ?",French,
"1. Comment conjugues-tu le verbe ""aller"" au passé composé ?
2. Qu'est-ce que la différence entre ""avoir"" et ""être"" en français ?
3. Comment utilises-tu les articles ""le"", ""la"", ""l'"", ""les"" et ""des"" ?
4. Comment exprimer ""I don't know"" en français ?
5. Comment utiliser les temps grammacial en français ?",French,
"1. Comment conjugues-tu le verbe ""aller"" au passé composé ?
2. Qu'est-ce que la différence entre ""avoir"" et ""être"" en français ?
3. Comment utilises-tu les articles ""le"", ""la"", ""l'"", ""les"" et ""des"" ?
4. Comment exprimer ""I don't know"" en français ?
5. Comment utiliser les temps grammacial en français ?",French,
"1. Comment conjugues-tu le verbe ""aller"" au passé composé ?
2. Qu'est-ce que la différence entre ""avoir"" et ""être"" en français ?
3. Comment utilises-tu les articles ""le"", ""la"", ""l'"", ""les"" et ""des"" ?
4. Comment exprimer ""I don't know"" en français ?
5. Comment utiliser les temps grammacial en français ?",French,
"1. Comment conjugues-tu le verbe ""aller"" au passé composé ?
2. Qu'est-ce que la différence entre ""avoir"" et ""être"" en français ?
3. Comment utilises-tu les articles ""le"", ""la"", ""l'"", ""les"" et ""des"" ?
4. Comment exprimer ""I don't know"" en français ?
5. Comment utiliser les temps grammacial en français ?",French,
"1. Comment conjugues-tu le verbe ""aller"" au passé composé ?
2. Qu'est-ce que la différence entre ""avoir"" et ""être"" en français ?
3. Comment utilises-tu les articles ""le"", ""la"", ""l'"", ""les"" et ""des"" ?
4. Comment exprimer ""I don't know"" en français ?
5. Comment utiliser les temps grammacial en français ?",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de conjugaisons en français ?
3. Comment exprimer des idées complexes et sophistiquées en français ?
4. Comment utiliser les temps passés en français ?
5. Comment améliorer la maîtrise de la syntaxe française avancée ?
6. Comment utiliser des expressions idiomatiques avancées",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de conjugaisons en français ?
3. Comment exprimer des idées complexes et sophistiquées en français ?
4. Comment utiliser les temps passés en français ?
5. Comment améliorer la maîtrise de la syntaxe française avancée ?
6. Comment utiliser des expressions idiomatiques avancées",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de conjugaisons en français ?
3. Comment exprimer des idées complexes et sophistiquées en français ?
4. Comment utiliser les temps passés en français ?
5. Comment améliorer la maîtrise de la syntaxe française avancée ?
6. Comment utiliser des expressions idiomatiques avancées",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de conjugaisons en français ?
3. Comment exprimer des idées complexes et sophistiquées en français ?
4. Comment utiliser les temps passés en français ?
5. Comment améliorer la maîtrise de la syntaxe française avancée ?
6. Comment utiliser des expressions idiomatiques avancées",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de conjugaisons en français ?
3. Comment exprimer des idées complexes et sophistiquées en français ?
4. Comment utiliser les temps passés en français ?
5. Comment améliorer la maîtrise de la syntaxe française avancée ?
6. Comment utiliser des expressions idiomatiques avancées",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de conjugaisons en français ?
3. Comment exprimer des idées complexes et sophistiquées en français ?
4. Comment utiliser les temps passés en français ?
5. Comment améliorer la maîtrise de la syntaxe française avancée ?
6. Comment utiliser des expressions idiomatiques avancées",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de conjugaisons en français ?
3. Comment exprimer des idées complexes et sophistiquées en français ?
4. Comment utiliser les temps passés en français ?
5. Comment améliorer la maîtrise de la syntaxe française avancée ?
6. Comment utiliser des expressions idiomatiques avancées",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de conjugaisons en français ?
3. Comment exprimer des idées complexes et sophistiquées en français ?
4. Comment utiliser les temps passés en français ?
5. Comment améliorer la maîtrise de la syntaxe française avancée ?
6. Comment utiliser des expressions idiomatiques avancées",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de conjugaisons en français ?
3. Comment exprimer des idées complexes et sophistiquées en français ?
4. Comment utiliser les temps passés en français ?
5. Comment améliorer la maîtrise de la syntaxe française avancée ?
6. Comment utiliser des expressions idiomatiques avancées",French,
"1. Comment utiliser les subjonctifs dans la langue française ?
2. Quels sont les différents types de conjugaisons en français ?
3. Comment exprimer des idées complexes et sophistiquées en français ?
4. Comment utiliser les temps passés en français ?
5. Comment améliorer la maîtrise de la syntaxe française avancée ?
6. Comment utiliser des expressions idiomatiques avancées",French,
"1. Comment allez-vous? (How are you?)
2. Comment te nommes-tu? (What is your name?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays? (What is your country?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est le temps aujourd'hui? (What is the weather like today?)",French,
"1. Comment allez-vous? (How are you?)
2. Comment te nommes-tu? (What is your name?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays? (What is your country?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est le temps aujourd'hui? (What is the weather like today?)",French,
"1. Comment allez-vous? (How are you?)
2. Comment te nommes-tu? (What is your name?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays? (What is your country?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est le temps aujourd'hui? (What is the weather like today?)",French,
"1. Comment allez-vous? (How are you?)
2. Comment te nommes-tu? (What is your name?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays? (What is your country?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est le temps aujourd'hui? (What is the weather like today?)",French,
"1. Comment allez-vous? (How are you?)
2. Comment te nommes-tu? (What is your name?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays? (What is your country?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est le temps aujourd'hui? (What is the weather like today?)",French,
"1. Comment allez-vous? (How are you?)
2. Comment te nommes-tu? (What is your name?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays? (What is your country?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est le temps aujourd'hui? (What is the weather like today?)",French,
"1. Comment allez-vous? (How are you?)
2. Comment te nommes-tu? (What is your name?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays? (What is your country?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est le temps aujourd'hui? (What is the weather like today?)",French,
"1. Comment allez-vous? (How are you?)
2. Comment te nommes-tu? (What is your name?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays? (What is your country?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est le temps aujourd'hui? (What is the weather like today?)",French,
"1. Comment allez-vous? (How are you?)
2. Comment te nommes-tu? (What is your name?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays? (What is your country?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est le temps aujourd'hui? (What is the weather like today?)",French,
"1. Comment allez-vous? (How are you?)
2. Comment te nommes-tu? (What is your name?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton pays? (What is your country?)
5. Quel est ton niveau de français? (What is your level of French?)
6. Quel est le temps aujourd'hui? (What is the weather like today?)",French,
"1. Comment vous appelez-vous? (What is your name?)
2. Où habites-tu? (Where do you live?)
3. Quel est ton niveau en français? (What is your French proficiency level?)
4. Comment te expressions en français? (How do you express yourself in French?)
5. Quel est ton préféré des activités de loisirs en français? (What is your favorite French leisure activity",French,
"1. Comment vous appelez-vous? (What is your name?)
2. Où habites-tu? (Where do you live?)
3. Quel est ton niveau en français? (What is your French proficiency level?)
4. Comment te expressions en français? (How do you express yourself in French?)
5. Quel est ton préféré des activités de loisirs en français? (What is your favorite French leisure activity",French,
"1. Comment vous appelez-vous? (What is your name?)
2. Où habites-tu? (Where do you live?)
3. Quel est ton niveau en français? (What is your French proficiency level?)
4. Comment te expressions en français? (How do you express yourself in French?)
5. Quel est ton préféré des activités de loisirs en français? (What is your favorite French leisure activity",French,
"1. Comment vous appelez-vous? (What is your name?)
2. Où habites-tu? (Where do you live?)
3. Quel est ton niveau en français? (What is your French proficiency level?)
4. Comment te expressions en français? (How do you express yourself in French?)
5. Quel est ton préféré des activités de loisirs en français? (What is your favorite French leisure activity",French,
"1. Comment vous appelez-vous? (What is your name?)
2. Où habites-tu? (Where do you live?)
3. Quel est ton niveau en français? (What is your French proficiency level?)
4. Comment te expressions en français? (How do you express yourself in French?)
5. Quel est ton préféré des activités de loisirs en français? (What is your favorite French leisure activity",French,
